PUN NAZIV,SKRACENI NAZIV,ADRESA,MATICNI BROJ,PORESKI BROJ,TEKUCI RACUN,PRAVNI OBLIK,DATUM OSNIVANJA,DELATNOST,Telefon,Web,E-mail,OPIS DELATNOSTI,Folder,Pozicija 1,Pozicija 1 Ime,Pozicija 1 Linkedin,Pozicija 1 Telefon,Pozicija 1 Mail,Pozicija 2,Pozicija 2 Ime,Pozicija 2 Linkedin,Pozicija 2 Telefon,Pozicija 2 Mail,Pozicija 3,Pozicija 3 Ime,Pozicija 3 Linkedin,Pozicija 3 Telefon,Pozicija 3 Mail,Pozicija 4,Pozicija 4 Ime,Pozicija 4 Linkedin,Pozicija 4 Telefon,Pozicija 4 Mail,Beleske
PREDUZEĆE ZA PROIZVODNJU TRGOVINU I USLUGE AGROART DOO STARA PAZOVA,AGROART DOO STARA PAZOVA,KARAĐORĐEVA 52 22300 Stara Pazova,08667209,100530995,220-8257000000779-23,Društvo sa ograničenom odgovornošću,22.1.1998.,Proizvodnja mašina za poljoprivredu i šumarstvo,+381 22 311 790+381 22 315 646+381 22 314 638,www. agroart.co.rs , ,Bave se proizvodnjom poljoprivrednih mašina i rezervnih delova za sve poljoprivredne mašine.PROIZVODI:mašine za poljoprivredu (obrada zemljišta zaštita setva) mašine za povrtarstvo mašine za voćarstvo zelena linija (kosačice sakupljači sena vile)USLUGE:Uslužna obrada metala na CNC strugu(sa gonjenim alatima)Uslužno rezanje CNC plazmom i gasno sečenje,PROIZVODNJA MAŠINA,Direktor,Radenka Labanac,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,12-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
AIKIVA MACHINES DOO BEOGRAD-BORČA,AIKIVA MACHINES DOO,BORČANSKIH ŽRTAVA 1914 88 11211 Borča,21296864,110096504,265-1060310002326-61,Društvo sa ograničenom odgovornošću,14.6.2017.,Proizvodnja ostalih mašina i aparata opšte namene,+381 60 7070 389,, office@aikiva.com,PROIZVODI:uređajI za merenje težine (laboratorijske vage kućne vage i vage za trgovinu vage za kontinuirano merenje vagonske vage tegovi i dr.mašine i aparati za filtriranje i prečišćavanje tečnostiuređaji za izbacivanje raspršivanje i prskanje tečnosti i praha:mašine za pakovanje i uvijanje: mašine za punjenje zatvaranje zaptivanje kapsuliranje označavanje i dr.mašina za pranje ili sušenje boca i za gaziranje pićamašina za destilaciju i prečišćavanje u rafinerijima nafte hemijskoj industriji industriji pića itd.gasni generatorikalanderi i druge mašine za valjanje i odgovarajući cilindari (osim za metal i staklo)centrifuge (separatori u mlekarama i sušilice za odeću)zaptivači i slični zaptivci izrađenih od kombinovanih materijala ili od slojeva istog materijalaautomati za prodaju robe i dr.libele mernie trake i slične naprave preciznog mašinskog alata (osim optičkog)rashladni stubovi i slični uređaji za hlađenje pomoću reciklirane vodeneelektrični aparati za zavarivanje,PROIZVODNJA MAŠINA,Direktor,Mišo Stanković,,,miso.stankovic@aikiva.com,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,11-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
BSK DOO OBRENOVAC,BSK DOO OBRENOVAC,Save Kovačevića 27 11500 OBRENOVAC,20479817,105870734,170-0030023945000-57,Društvo sa ograničenom odgovornošću,25.11.2008.,Proizvodnja mašina za poljoprivredu i šumarstvo,+381 11 87 20 874,, office@bsk.rs,Bave se istraživanjem razvojem projektovanjem proizvodnjom i prodajom inovativnih proizvoda zasnovanih na tehnologijama iz oblasti hidrodinamike (kretanja vazduha i vode).PROIZVODI:VAZDUŠNI BERAČ VOĆA INOVATIVNA ZAŠTITA VOĆNJAKAINDUSTRIJSKI VAKUUM USISIVAČI SERIJEANTIHABAJUĆI MATERIJAL,PROIZVODNJA MAŠINA,Izvršni director,Marko Kokanović,https://www.linkedin.com/in/marko-kokanović,+381 11 87 20 874,marko.kokanovic@bsk.rs,Tehnički sector,Filip Kokanović,https://www.linkedin.com/in/filip-kokanovic,+381 64 38 48 512+381 11 87 28 359,filip.kokanovic@bsk.rs,Tehnički sector,Nemanja Milić,,+381 60 33 32 617+381 11 87 28 359,nemanja.milic@bsk.rs,Tehnički sector,Vladimir Bošković,,+381 64 65 82 466+381 11 87 28 359,vladimir.boskovic@bsk.rs,LinkedIn
PREDUZEĆE ELMOPROM DOO PIROT,ELMOPROM DOO PIROT,NIKOLE PAŠIĆA 247 18300 PIROT,06285074,100358492,220-0000000053334-43,Društvo sa ograničenom odgovornošću,26.6.1998.,Proizvodnja mašina za obradu metala,+381 10 2310 020,, office@elmoprom.com,Bave se proizvodnjom i rekonstrukcijom opreme i alata za industriju.USLUGE:Strugarska obrada do Ø 750x2000mmGlodanje max. 1250x1000x1000Unutrasnje brušenje do Ø 200x500mSpoljno brušenje do Ø 250x1000mmTermicka obrada (žarenje cementacija kaljenje poboljšanje)Zavarivanje (CO2 TIG)Sečenje materijala (laser plazma gas)Obrada na CNC obradnom centru sa tri oseObrada dokumentacije u SolidWorks-u SolidCam programiranje CNC masina 3D iMachining,PROIZVODNJA MAŠINA,Direktor,Ivan Tošić,,+381 63 816 3910,ivan.tosic@elmoprom.com,Direktor proizvodnje,Branka Stojanović,https://www.linkedin.com/in/branka-stojanovic,+381 69 334 7271,branka.stojanovic@elmoprom.com,Direktor kvaliteta,,,,,Project manager,,,,,28-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
FEROCOOP DOO TEMERIN,FEROCOOP DOO TEMERIN,Novosadska 333 21235 Temerin,21335479,110313598,220-2030200023149-34,Društvo sa ograničenom odgovornošću,7.11.2017.,Proizvodnja mašina za poljoprivredu i šumarstvo,+381 63 512 664+381 21 843 932,, agroferocoop@gmail.com,PROIZVODI:Poljoprivredna mehanizacija oprema i alatiMehanizacija Traktori Rasturači đubriva Plugovi Sejačice Drljače Pomoćni uređaji za traktore,PROIZVODNJA MAŠINA,Direktor,Goran Bošković,,+381 63 512 664,,Commercialist / Sales Manager,Miloš Isak,https://www.linkedin.com/in/milos-isak,,,Direktor kvaliteta,,,,,Project manager,,,,,28-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
Fortaco d.o.o. Gruža,Fortaco d.o.o,Gruža bb 34230 GRUŽA,06979394,101038959,160-0053400033516-44,Društvo sa ograničenom odgovornošću,4.1.1994.,Proizvodnja mašina za obradu metala,+381 34 240 920,, fortaco.serbia@fortacogroup.com,Oblast teških građevinskih mašina u pomorskoj industriji (kabine vozila čelične konstrukcije montaža mašina tehnologija).Oblast proizvodnje razvoja i unapređenja vitala dizalica i drugih mašina za pomorsku industriju i industriju nafte i gasa.,PROIZVODNJA MAŠINA,Sourcing Specialist,Dragan Vlašković,,+381 63 108 9821,dragan.vlaskovic@fortacogroup.com,Production Manager,Dušan Kostić,https://www.linkedin.com/in/dusan-kostic,,,Process Quality Engineer,Miloš Dakić,https://www.linkedin.com/in/milos-dakic,,,Project manager,,,,,22-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
FABRIKA POLJOPRIVREDNE MEHANIZACIJE AGROMEHANIKA D.O.O. BOLJEVAC,FPM AGROMEHANIKA D.O.O. BOLJEVAC,ĐORĐE SIMEONOVIĆA 25 19370 BOLJEVAC,17448749,102184352,160-0050100038061-54,Društvo sa ograničenom odgovornošću,6.12.2002.,Proizvodnja mašina za poljoprivredu i šumarstvo,+381 30 463 531,, info@fpm.rs,Proizvođač poljoprivrednih mašina. PROIZVODNI PROGRAM:- PRIKLJUČCI ZA TRAKTORE – PROGRAM ZA OBRADU SENA- PRIKLJUČCI ZA TRAKTORE – PROGRAM SITNILICA BILJNIH OSTATAKA – MULČARA- PRIKLJUČCI ZA TRAKTORE – PROGRAM MAŠINA ZA OBRADU ZEMLJE- PROGRAM SAMOHODNIH MAŠINAPored osnovnog proizvodnog programa kompanija proizvodi veliki broj delova i sklopova za druge proizvođače poljoprivredne mehanizacije i vršu usluge termičke obrade metala peskarenja cinkovanja ozubljenja  karbonitriranja itd. za firme iz drugih sektora privrede.USLUGE:- CNC SEČENJE LASEROM- SAVIJANJE LIMOVA NA CNC PRESI- CNC STRUGANJE- CNC GLODANJE- USLUGE CINKOVANJA- BALANSIRANJE ROTORA- USLUGA PLASTIFIKACIJE I MOKROG FARBANJA- USLUGA PESKARENJA,PROIZVODNJA MAŠINA,Generalni direktor,Branislav Rajić,,+381 63 459 325,rajic@fpm.rs,Rukovodilac službe nabavke kooperacije i logistike,Željko Dobrosavljević,,+381 63 459 564,z.dobrosavljevic@fpm.rs,Rukovodilac službe plana i analize,Goran Stefanović,,+381 62 802 8236,g.stefanovic@fpm.rs,Predstavnik rukovodstva za kvalitet,Dragana Trifunović,,+381 62 802 8252,d.trifunovic@fpm.rs,LinkedIn
DRUŠTVO ZA PROIZVODNJU PROMET I USLUGE GM CONVERTING DOO GORNJI MILANOVAC,GM CONVERTING DOO GORNJI MILANOVAC,Nevade 235A 32300 GORNJI MILANOVAC,20039213,103864595,170-0030002257000-46,Društvo sa ograničenom odgovornošću,29.3.2005.,Proizvodnja ostalih mašina i aparata opšte namene,+381 32 702 000+381 63 603 746,www. gmconverting.rs , gmconverting@gmail.com,USLUGE:Glodanje na CNC mašini (1000 x 600 x 600)Struganje ( radna dužina 3000)Brušenje ( ravno i okruglo)BušenjeBalansiranjeVarenje ( posedujemo aparate za sve vrste varenja)Usluga inženjeringa i konsaltinga (Izrada tehničke dokumentacije u Auto CAD-uMašinsko 3D modeliranjeKonverzija Auto CAD 2D crteža u 3D modelKonverzija crteža sa papira u Auto CAD datoteke)PROIZVODI:štamparskih mašina (flexo i bakro) kašir mašina (spajanje (lepljenje) dva materijala)mašine za podužno sečenje (rezači)nosećih konstrukcija (platforme za extrudere i ostale mašine)valjci (štamparskih raster slobodnih hladnih čeličnih aluminijumskih hromiranih....)disolveri (mešači za boju)reaktori za boju i lafeti za reaktore (kućište osovine mešača)pneumatskse osovine dodatne mašine za štamparsku industrijuraznih delova i sklopova,PROIZVODNJA MAŠINA,Direktor,Dejan Savić,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,12-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
HYDRO MAG DOO PARAĆIN,HYDRO MAG DOO,STRIŠKA 30 35250 PARAĆIN,21093769,108919967,265-3300310023923-21,Društvo sa ograničenom odgovornošću,26.3.2015.,Proizvodnja mašina za rudnike kamenolome i građevinarstvo,+381 35 568 675+381 64 500 81 25,, kontakt@hydromag.rs,Bave se prodajom ugradnjom i servisom hidrauličnih i pneumatskih komponenti. HYDROMAG pruža usluge konsaltinga i rešavanje problema iz oblasti automatizacije fluidnih procesa.PROIZVODI:ZAPTIVAČI ISPUNJAVANJE SPOJNICAPRIBOR OPŠTE NAMENEGRAĐEVINSKE MAŠINE I OPREMA,PROIZVODNJA MAŠINA,Managing Director,Aleksandar Cvetković,https://www.linkedin.com/in/aleksandar-cvetković,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,05-05-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
JOMAPEKS DOO ZA UNUTRAŠNJU I SPOLJNU TRGOVINU MARKETING I INŽENJERING NOVI SAD,JOMAPEKS DOO NOVI SAD,Bulevar Slobodana Jovanovića 34/2 21000 Novi Sad,08708258,101705087,160-0050100056965-87,Društvo sa ograničenom odgovornošću,18.8.2000.,Proizvodnja mašina za poljoprivredu i šumarstvo,+381 21 493 006+381 21 493 757,, ,Bave se projektovanjem proizvodnjom i montiranjem opreme za živinarske i stočarske farme.USLUGE:proizvodnju traktora za poljoprivredu i šumarstvoproizvodnju jednoosovinskih traktora i motokultivatoraproizvodnju kosilica uključujući kosilice za travnjakeproizvodnju poljoprivrednih samoutovarnih i samoistovarnih prikolica i poluprikolicaproizvodnju poljoprivrednih mašina za pripremu zemljišta setvu ili đubrenje: plugova rasturača đubriva sejačica drljača i dr.proizvodnju mašina za žetvu i vršidbu: žetelica vršalica sortirki i dr.proizvodnju mašina za mužuproizvodnju poljoprivrednih mašina za prskanje i zaprašivanjeproizvodnju raznovrsne poljoprivredne opreme za gajenje živine i pčela pripremu stočne hrane i dr.proizvodnju mašina za čišćenje sortiranje i klasiranje jaja voća semena zrnevlja i dr.,PROIZVODNJA MAŠINA,Chief Operating Officer,Zoran Kozlovački,https://www.linkedin.com/in/zoran-kozlovački,,,Generalni direktor,Jovan Makitan,https://www.linkedin.com/in/jovan-makitan-office,,,Direktor kvaliteta,,,,,Project manager,,,,,11-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
SAMOSTALNA ZANATSKA RADNJA LORD INGENERING ĐORĐE PAVLOVIĆ PR ČAČAK,SAMOSTALNA ZANATSKA RADNJA LORD INGENERING ĐORĐE PAVLOVIĆ PR ČAČAK,OBILIĆEVA BB 32000 Čačak,62111640,105611972,840-0000021609763-13,Preduzetnik,1.6.2008.,Proizvodnja mašina za industriju hrane pića i duvana,+381 32 377 434+381 32 370 655+381 65 6621 509,, lord.cacak@gmail.com,PROIZVODI:SušareSeckalice za pečurku Noževi za sečenjeMašina za sečenje hleba,PROIZVODNJA MAŠINA,Direktor,Đorđe Pavlović,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,19-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
MASHTRONICS PREDUZEĆE ZA PROIZVODNJU I USLUGE DOO MLADENOVAC MEĐULUŽJE,MASHTRONICS DOO MLADENOVAC,MILOŠA STEPIĆA 21 11400 MLADENOVAC,20593024,106398010,155-0070100133693-15,Društvo sa ograničenom odgovornošću,10.12.2009.,Proizvodnja mašina za obradu metala,+381 63 650-532,www. mashtronics.com , sales@mashtronics.com,PROIZVODI:alatne mašine za obradu metala (i onih koje koriste laser ultrazvuk elektroeroziju plazmu magnetski puls)mašinsko oruđa za izvrtanje bušenje glodanje oblikovanje struganje i mlevenjemašine za rezanje i isecanje metalamašinsko oruđa za etaloniranje i presovanje mašine za vučenje metala i mašina za obradu žicepresa za probijanje hidrauličnih presa hidrauličnih kočnica čekića mašina za kovanje itd.,PROIZVODNJA MAŠINA,Direktor,Vladan Radojević,https://www.linkedin.com/in/vladan-radojevic,,,Project Engineer,Nemanja Mićović,https://www.linkedin.com/in/nemanja-mićović,,,Mechanical Engineer,Jovana Čurović,https://www.linkedin.com/in/jovana-čurović,,,Project manager,,,,,13-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU MBV VRŠAC,DOO MBV VRŠAC,Zagorke Malivuk 14 26300 Vršac,08731004,100913812,105-0000002452705-43,Društvo sa ograničenom odgovornošću,6.6.2001.,Proizvodnja mašina za poljoprivredu i šumarstvo,+381 13 836 503+381 13 832 117+381 64 556 6556,www mbv.rs , info@mbv.rs,Bave se proizvodnjom poljoprivrednih mašina.PROIZVODI:mehanizacijatraktori,PROIZVODNJA MAŠINA,Direktor, Boško Milinković ,,+ 381 63 345 766,,Poslovođa,Lavi Dragić,https://www.linkedin.com/in/lavi-dragic,,,Direktor kvaliteta,,,,,Project manager,,,,,21-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PRIVREDNO DRUŠTVO ZA PROMET ROBE I USLUGE I UVOZ-IZVOZ PROMET NA VELIKO I MALO I SPOLJNU TRGOVINU MEHANIKA-FIVES DOO ALEKSINAČKI RUDNIK,MEHANIKA-FIVES DOO ALEKSINAČKI RUDNIK OZRENSKA 1,OZRENSKA 1 18226 ALEKSINAČKI RUDNIK,20724480,107012983,325-9500700027827-37,Društvo sa ograničenom odgovornošću,30.3.2011.,Proizvodnja mašina za rudnike kamenolome i građevinarstvo,+381 18 882 455+381 67 77 43 777,, info@mehanika.rs,Osnovna delatnost preduzeća je proizvodnja rudarske i građevinske opreme metalnih konstrukcija i zavarenih sklopova. USLUGE:- rezanje laserom- zavarivanje robotom- rezanje plazma/autogeno- obrada na CNC mašinama- savijanje na CNC presi- praškasto farbanje i plastifikacijaPROIZVODI:bunkerIdodavačI materijala transportnI sistemIvibro sitaudarne drobilice mlinovI za kamen pLastiku drvodehidratorIsistemI za pranje materijalaodmuljivačIsistemI za otprašivanjeelektro ormanImetalne konstrukcijeograde kapije metalna galanterija…,PROIZVODNJA MAŠINA,Co-Owner,Srdjan Filipović,https://www.linkedin.com/in/srdjan-filipovic,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,10-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
NIPEK GOSTOL TST DOO ZA PROIZVODNJU TRGOVINU I USLUGE BEOGRAD (ZEMUN),NIPEK GOSTOL TST DOO BEOGRAD,ŠEVINA 51 11080 ZEMUN,17161156,101030817,220-0000000078730-97,Društvo sa ograničenom odgovornošću,5.2.1997.,Proizvodnja mašina za industriju hrane pića i duvana,011 21 92 171011 37 33 170063 80 99 008,, nipek_gostol_tst@yahoo.com,Proizvode mašine za peskiranje vibro finiš mašine I komore za peskiranje. Nude servis I prodaju rezervnih delova. Specijalizovana firma za plasman procesne opreme i pružanje usluga iz oblasti pekarstva i peskiranja.,PROIZVODNJA MAŠINA,Purchasing and Sales Specialist,Novaković Milan,https://www.linkedin.com/in/bojan-nedeljković,,,Purchasing and Sales Specialist,Nedeljković Bojan,https://www.linkedin.com/in/bojan-nedeljković,+381 60 42 44 044,,Direktor kvaliteta,,,,,Project manager,,,,,28-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
OROX INT DOO PETROVARADIN,OROX INT DOO PETROVARADIN,Rade Končara 1 21132 Petrovaradin,20870745,107780539,265-2010310007147-54,Društvo sa ograničenom odgovornošću,24.10.2012.,Proizvodnja mašina za industriju tekstila odeće i kože,+381 21 661 1157 +381 69 3669937,, ,Bave se proizvodnjom mašina visoke tehnologije za tekstilnu industriju.,PROIZVODNJA MAŠINA,Chief Technical Officer,Stefan Ćurčić,https://www.linkedin.com/in/stefan-ćurčić,,s.curcic@3latox.eu,Production manager,Nemanja Milošević,https://www.linkedin.com/in/nemanja-milošević,,,Direktor kvaliteta,,,,,Project manager,,,,,12-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PELCER DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU SUBOTICA,PELCER DOO SUBOTICA,DUNAVSKA 4 24000 Subotica,20237961,104792264,250-2150001285770-12,Društvo sa ograničenom odgovornošću,5.1.2007.,Proizvodnja mašina za ostale specijalne namene,+381 24 541 936,, info@pelcer.info,PROIZVODI I TEHNOLOGIJE:Ispitne stanice (portabilne-kompaktne ispitne uredjaje/stanice za različite namene)Montažne stanice i mašine (automatske poluautomatske i ručne (manuelne) montažne stanice i mašine za različite proizvode i različite faze proizvodnje)automatske poluautomatske i ručne (manuelne) montažne stanice i mašine za različite proizvode i različite faze proizvodnje (Projektuju i izrađuju upravljačke sisteme za razne procese u industrijskoj proizvodnji: temperaturni procesi grejanja ili hlađenja mešanja doziranja merenja vaganja punjenja pražnjenja obeležavanja kontrole transport i manipulacija materijalima itd.)INDUSTRIJE:automobilska industrija industrija proizvodnje skladištenja stočne hrane i žitarica industrija pića,PROIZVODNJA MAŠINA,Owner – Manager,Stipan Ðuraković,https://www.linkedin.com/in/stipan-đuraković,,,Production Manager,Petar Cvetković,https://www.linkedin.com/in/petar-cvetković,,,Operations Director,Viktor Udovički,https://www.linkedin.com/in/viktor-udovički,,,Industrial Machine Designer,Strahinja Rašuo,https://www.linkedin.com/in/strahinja-rašuo,,,06-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PELET C MAŠINE DOO TEMERIN,PELET C MAŠINE DOO,SONJE MARINKOVIĆ 11 21235 Temerin,20920963,108040331,340-0000013004388-69,Društvo sa ograničenom odgovornošću,22.4.2013.,Proizvodnja mašina za ostale specijalne namene,+381 63 849 86 94+381 21 841 465,www. peletc.com,,Bave se proizvodnjom mašina za peletiranje i prateće opreme za biomasu i poljoprivrednu industriju.,PROIZVODNJA MAŠINA,Direktor,Dragan Cvetković,,+381 63 849 86 94,dcpeletc@gmail.com,Rukovodilac Proizvodnje,Stanislav Cvetković,,+381 62 158 4538,stanislav.cvetkovic@gmail.com,Direktor kvaliteta,,,,,Project manager,,,,,24-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PROFICUT DOO BAČKI PETROVAC,PROFICUT DOO BAČKI PETROVAC,RUDA HRUBIKA 6 21470 Bački Petrovac,20023384,104106537,160-0053400042752-78,Društvo sa ograničenom odgovornošću,21.2.2005.,Proizvodnja mašina za obradu metala,+381 21 210 70 75,, ,Proficut doo nudi širok spektar proizvoda tehnologija i usluga. Bave se servisom i prodajom mašina i aparata iz oblasti rezanja i zavarivanja metala. Nude i zaštitnu opremu za zavarivače i brusače filterske jedinice mašine za obradu ivica i indukcione grejače.SEČENJE:prodaja svetski poznatog proizvođača CNC mašina Microstep Slovačkaprodaja delova za CNC mašineuslužno sečenje - plazmom laseromuslužno savijanjeproizvodnja CNC mašina za rezanje i zavarivanjeproizvodnja šasija kamionskih prikolica i podsklopovaservis obuka i savetodavne usluge iz navedene oblastiZAVARIVANJE:prodaja svetski poznatih proizvođača aparata za zavarivanjeprodaja delova i pratećeg programa za zavarivanjerobotizacija u rezanju i zavarivanjuuslužno zavarivanjeservis obuka i savetodavne usluge iz navedene oblastiobuka i sertifikacija zavarivača pod pokroviteljstvom partnera iz EU - ovlašćenog organa za sertifikaciju osoblja u zavarivanjuNDT:nedestruktivna kontrola i ispitivanje zavarenih spojeva,PROIZVODNJA MAŠINA,Direktor,Ivan Zabunov,https://www.linkedin.com/in/ing-ivan-zabunov,,,Import Export Clerk/Sales Representative,Jovanka Čegar,https://www.linkedin.com/in/jovanka-cegar,,,Direktor kvaliteta,,,,,Project manager,,,,,31-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
RASCO-TAMP FABRIKA KOMUNALNE OPREME I ARMATURA DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU SENTA,RASCO-TAMP DOO SENTA,EUGENA SAVOJSKOG 6 24400 Senta,20942819,108161276,265-2420310000299-21,Društvo sa ograničenom odgovornošću,16.7.2013.,Proizvodnja mašina za poljoprivredu i šumarstvo,+381 24 415 5470,office@rasco-tamp.rs,,PROIZVODI:ZasuniLeptirasti zatvaračiOdbojna armatureOstali ventili i armatureRemont armatura pumi i pumpnih postrojenja,PROIZVODNJA MAŠINA,Head of development and construction,Tibor Borši,https://www.linkedin.com/in/tibor-borsi,+381 24 4155 468,borsi@rasco-tamp.rs,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,08-05-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
SETING DOO ZA SERVISIRANJE I PROIZVODNJU POLJOPRIVREDNIH MAŠINA KISAČ,SETING DOO KISAČ,VOJVOĐANSKA 78 21211 Kisač,08261300,101696246,160-0053400008775-62,Društvo sa ograničenom odgovornošću,31.10.1991.,Proizvodnja mašina za poljoprivredu i šumarstvo,+381 21 6323 561+381 63 504 863+381 63 528 130,www.setingsilosi.com , setingkisac@gmail.com,Mašinska proizvodnja izgradnja silosa i kompletne mašinsko tehnološke opreme PRIZVODI:SilosiSušareMešaone stočne hraneMlinoviElevatoriPužni transporteriLančasti transporter – redlerTrakasti transporteriPrečistači za zrnoKip platformeZasuni preklopke gravitacione ceviČelične konstrukcije,PROIZVODNJA MAŠINA,Direktor,Moja Pejak,,+381 63 504 863,,Tehnička služba,Vlada Srnka,,+381 63 497 665,,Prodaja,Đorđe Pejak,,+381 69 394 7529,,Prodaja,Predrag Pejak,,+381 63 528 130,,21-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU SPELD MILOŠEVAC,SPELD DOO MILOŠEVAC,Carigradska 6 11318 Miloševac,20308621,105089425,265-6410310004600-51,Društvo sa ograničenom odgovornošću,13.7.2007.,Proizvodnja mašina za ostale specijalne namene,+38126801444+38126801551+38163475577,, info@speld.rs – proizvodnja administracija,SPELD d.o.o. nudi kompletnu uslugu projektovanja i izrade:namenskih delova sistema sklopova i namenskih alata.Vrši izradu namenskih projekata na osnovu uzorka vrše proces obrnutog inženjeringa (reverse engineering).USLUGE:Izrada modela boceIzrada kalupa za duvanje plastikeIzrada formatnih delova i transportnih sistemaObrada metala i plastike,PROIZVODNJA MAŠINA,Direktor,Dragan Mišić,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,19-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU I USLUGE STAX TECHNOLOGIES KONJEVIĆI,DOO STAX TECHNOLOGIES KONJEVIĆI,KONJEVIĆI BB 32103 ČAČAK,20899425,107930475,170-0030024748024-77,Društvo sa ograničenom odgovornošću,13.2.2013.,Proizvodnja ostalih mašina i aparata opšte namene,+381 32 51 55 015+381 32 545 9247,, ,Bave se proizvodnom tehnologijom za preradu ambalaže kartona folije I papira.,PROIZVODNJA MAŠINA,Financial director,Nenad Škapina,https://www.linkedin.com/in/nenad-škapina,,,Procurement Manager,Marina Sretenović,https://www.linkedin.com/in/marina-sretenović,,,Project Manager,Bojan Biorac,https://www.linkedin.com/in/bojan-biorac,,,Quality Manager,Slobodan Slavković,https://www.linkedin.com/in/slobodan-slavković,,,LinkedIn
TECHNOSTEEL & CONSULTING DOO RUMA,TECHNOSTEEL & CONSULTING DOO RUMA,Industrijska 37 22400 RUMA,21096776,108937997,165-0007011557068-98,Društvo sa ograničenom odgovornošću,8.4.2015.,Proizvodnja mašina za metalurgiju,+381 60 70 90 161+381 22 610 172+39 36 318 355 00,www. technosteel.pro , info@technosteel.pro,Technosteel & Consulting doo je međunarodna kompanija koja širom sveta posluje u industriji čelika.USLUGE:Optimizacija potrošnje energije Optimizacija potrošnje grafitnih elektroda Optimizacija potrošnje ugljenika za ubrizgavanje Optimizacija punjenja potrošnje ugljenika Optimizacija potrošnje kreča Optimizacija potrošnje kiseonika Optimizacija vremena dodira do dodira Optimizacija TNG -a/Prirodnog gasa.,PROIZVODNJA MAŠINA,Production & Project manager,Radoslav Maričić,https://www.linkedin.com/in/radoslav-maričić,,,Project Manager,Milan Okeri,https://www.linkedin.com/in/milan-okeri,,,Production staff,Aleksandar Pajic,,,,Founder & CEO,Fabio Bianco,https://www.linkedin.com/in/fabio-bianco,,,07-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
